patient_id,national_id,sex,date_of_birth,county,sub_county,insurance_type
P10035,18276980,F,2004-04-06,Kericho,Soin Sigowet,Cash
P10036,32784818,F,1954-07-23,Kericho,Soin Sigowet,Company
P10037,17579521,M,2016-07-01,Kericho,Kipkelion,Company
P10038,36613945,M,1983-02-15,Kericho,Kipkelion,Private
P10039,2677300,F,1968-11-05,Kericho,Kericho West,NHIF
P10040,10371899,M,1964-07-30,Nakuru,Kericho West,Company
P10041,16654222,F,1964-04-13,Kericho,Soin Sigowet,NHIF
P10042,13393106,F,1981-05-15,Kericho,Kericho West,Private
P10043,18696735,M,2019-05-19,Kericho,Bureti,CBHI
P10044,1852241,M,1973-06-08,Kericho,Kipkelion,Cash
P10045,21050529,F,2004-05-21,Kericho,Kericho East,Company
P10046,113500,M,1982-09-04,Kericho,Kericho East,Cash
P10047,34032416,F,2009-10-30,Kericho,Bureti,Company
P10048,28215676,F,2010-10-07,Kericho,Kericho West,CBHI
P10049,20392703,F,1968-11-09,Kericho,Kipkelion,CBHI
P10050,14341259,F,2016-01-10,Kericho,Soin Sigowet,NHIF
P10051,6267109,M,2010-05-12,Kericho,Kericho West,Private
P10052,4887420,F,1987-03-08,Bomet,Soin Sigowet,CBHI
P10053,26820250,M,1963-03-29,Kericho,Soin Sigowet,NHIF
P10054,34759557,F,1954-07-04,Kericho,Kericho West,NHIF
P10055,37508842,F,2017-10-04,Bomet,Belgut,CBHI
P10056,10680907,F,1990-05-18,Kericho,Kericho West,Cash
P10057,29519351,M,2014-01-06,Kericho,Kericho West,Cash
P10058,10122075,M,1984-05-13,Kericho,Kericho West,Private
P10059,31267651,F,1955-08-03,Kericho,Belgut,Company
P10060,32009569,M,1981-07-23,Kericho,Belgut,Company
P10061,14800102,F,1969-09-08,Kericho,Belgut,Company
P10062,31366022,M,2005-10-29,Kericho,Kericho East,Company
P10063,28763717,M,1991-06-03,Kericho,Kericho East,Cash
P10064,22649279,F,1974-12-18,Kericho,Belgut,Cash
P10065,23485442,M,2008-04-29,Kericho,Soin Sigowet,NHIF
P10066,10226207,M,1961-04-29,Kericho,Soin Sigowet,NHIF
P10067,11260139,M,2019-10-12,Kericho,Kericho West,Cash
P10068,25186424,F,2014-02-23,Kericho,Kericho East,CBHI
P10069,20238872,M,2000-10-09,Kericho,Kericho East,Cash
P10070,33954454,F,1951-02-19,Kericho,Belgut,Company
P10071,29225048,M,2015-11-01,Kericho,Soin Sigowet,Cash
P10072,29230910,F,1978-12-01,Kericho,Kericho West,NHIF
P10073,25433542,F,1952-07-29,Kericho,Bureti,Private
P10074,18767564,F,1999-11-12,Kericho,Kipkelion,Private
P10075,37257245,M,2011-12-16,Kericho,Soin Sigowet,Company
P10076,14871083,F,2012-01-24,Kericho,Bureti,CBHI
P10077,28555078,F,1981-07-25,Kericho,Belgut,Cash
P10078,21176065,M,2016-08-24,Kericho,Soin Sigowet,Private
P10079,39566508,F,1959-01-08,Kericho,Kericho West,Cash
P10080,35845200,M,1974-08-11,Kericho,Kericho East,CBHI
P10081,823118,F,1992-02-11,Kericho,Belgut,Cash
P10082,4385124,F,1994-02-12,Kericho,Kipkelion,NHIF
P10083,5716394,M,1960-08-17,Kericho,Belgut,CBHI
P10084,25526738,F,1989-09-20,Kericho,Kipkelion,Company
P10085,6659453,M,2006-02-12,Kericho,Bureti,NHIF
P10086,10504727,M,1986-08-26,Kericho,Soin Sigowet,CBHI
P10087,18972909,F,1956-05-21,Kericho,Kericho West,Cash
P10088,7702508,M,2008-02-07,Kericho,Bureti,Private
P10089,38198839,F,1989-05-26,Kericho,Belgut,Cash
P10090,33138037,F,1957-03-20,Kericho,Kericho East,Company
P10091,15362858,M,2018-08-11,Kericho,Bureti,CBHI
P10092,34827074,F,1974-12-15,Kericho,Kipkelion,Company
P10093,23351272,F,1979-11-26,Kericho,Soin Sigowet,NHIF
P10094,26873896,M,1990-10-21,Kericho,Bureti,Cash
P10095,77247,F,1987-01-28,Kericho,Kericho West,CBHI
P10096,3463608,M,1973-12-16,Kericho,Kericho West,Cash
P10097,16058981,M,1977-11-17,Kericho,Kericho East,CBHI
P10098,7883020,M,1994-09-17,Bomet,Soin Sigowet,Cash
P10099,31690134,M,1990-12-24,Kericho,Kericho West,Company
P10100,18538650,F,1980-06-29,Bomet,Kipkelion,Cash
P10101,38918000,F,1963-05-02,Kericho,Kipkelion,Company
P10102,30557660,F,1966-12-04,Kericho,Kericho West,CBHI
P10103,21352452,F,2013-04-08,Bomet,Belgut,Company
P10104,2484345,M,1995-01-24,Nakuru,Kipkelion,Cash
P10105,35295980,F,1951-05-18,Kericho,Kericho West,Company
P10106,22720460,F,2008-04-19,Kericho,Bureti,CBHI
P10107,2409148,M,1971-01-23,Kericho,Soin Sigowet,Cash
P10108,6744927,F,1964-12-04,Kericho,Bureti,NHIF
P10109,24056068,F,1988-08-21,Kericho,Kericho West,CBHI
P10110,11748706,M,2004-09-05,Kericho,Belgut,CBHI
P10111,15581903,F,2007-03-25,Kericho,Belgut,Cash
P10112,36681581,M,1956-08-17,Kericho,Bureti,CBHI
P10113,20275043,M,1984-07-06,Kericho,Belgut,NHIF
P10114,19855660,F,1951-12-20,Kericho,Soin Sigowet,Company
P10115,33334804,F,2019-08-06,Kericho,Kericho West,CBHI
P10116,16819280,M,2006-05-13,Kericho,Soin Sigowet,NHIF
P10117,24485423,M,1958-02-01,Bomet,Bureti,Cash
P10118,24552284,F,1964-10-05,Kericho,Belgut,Cash
P10119,9446044,M,2010-09-04,Kericho,Soin Sigowet,Company
P10120,17747515,M,1990-10-20,Kericho,Soin Sigowet,Cash
P10121,15691523,F,1952-03-31,Kericho,Kipkelion,Cash
P10122,20279640,F,1960-06-20,Kericho,Kericho East,NHIF
P10123,36074143,M,1984-11-13,Kericho,Bureti,CBHI
P10124,6645230,F,2005-03-26,Kericho,Bureti,NHIF
P10125,15845251,F,1958-11-30,Kericho,Bureti,CBHI
P10126,12737837,M,1990-10-18,Kericho,Soin Sigowet,Private
P10127,22381421,M,1961-04-19,Kericho,Kipkelion,Private
P10128,39351503,M,1970-11-26,Kericho,Kericho West,CBHI
P10129,36253246,F,1965-08-27,Kericho,Soin Sigowet,NHIF
P10130,21727936,M,1965-08-19,Kericho,Kericho East,Private
P10131,30083241,F,1996-01-17,Kericho,Kericho East,Company
P10132,20242069,F,2007-09-19,Nakuru,Kericho East,NHIF
P10133,32901386,F,1956-08-05,Bomet,Kericho East,Cash
P10134,39283160,F,1984-03-04,Kericho,Kipkelion,Cash
P10135,7678199,M,1988-08-01,Kericho,Kericho West,Company
P10136,6381103,F,1988-04-15,Kericho,Soin Sigowet,Cash
P10137,6121992,M,1958-05-13,Kericho,Kericho East,Cash
P10138,37693934,F,2010-02-09,Kericho,Belgut,Cash
P10139,20968091,F,1959-04-18,Kericho,Kipkelion,Private
P10140,23495753,F,1960-04-22,Kericho,Bureti,CBHI
P10141,37362173,M,2004-08-20,Bomet,Soin Sigowet,Cash
P10142,23556784,M,1966-04-11,Kericho,Kericho West,CBHI
P10143,6157754,M,1983-10-02,Kericho,Belgut,Cash
P10144,5701371,M,1963-12-17,Kericho,Kipkelion,NHIF
P10145,32592206,F,1987-02-27,Kericho,Kericho West,CBHI
P10146,39804566,F,1997-04-10,Kericho,Bureti,NHIF
P10147,13718604,F,1968-12-13,Kericho,Kericho West,Cash
P10148,28900769,M,1961-08-04,Kericho,Kipkelion,Private
P10149,26646996,M,1989-02-19,Kericho,Belgut,NHIF
P10150,28030968,F,1960-05-02,Kericho,Kericho East,Cash
P10151,5914297,F,1959-07-01,Kericho,Belgut,CBHI
P10152,22784351,M,1979-11-18,Kericho,Kericho West,NHIF
P10153,13012658,F,1981-07-01,Kericho,Soin Sigowet,Private
P10154,11643323,M,2018-03-15,Kericho,Soin Sigowet,NHIF
P10155,37831648,F,2011-02-09,Bomet,Kipkelion,CBHI
P10156,29511984,M,1992-01-26,Kericho,Soin Sigowet,Cash
P10157,4978851,F,1991-06-05,Kericho,Kericho East,NHIF
P10158,39868022,F,1991-07-07,Kericho,Kipkelion,NHIF
P10159,31918924,M,1955-07-21,Kericho,Kericho East,Cash
P10160,16625800,F,1989-06-03,Kericho,Kipkelion,CBHI
P10161,27432050,F,2010-11-28,Kericho,Kericho East,Cash
P10162,19068781,F,2014-12-06,Kericho,Soin Sigowet,CBHI
P10163,23476076,F,2008-11-09,Kericho,Soin Sigowet,Company
P10164,37508626,F,2007-09-24,Kericho,Bureti,Private
P10165,28414321,F,1951-08-21,Kericho,Bureti,Private
P10166,15203047,M,1963-11-26,Kericho,Bureti,NHIF
P10167,22599875,M,2003-08-01,Kericho,Kericho West,Private
P10168,29371766,M,1986-11-11,Kericho,Soin Sigowet,Private
P10169,35836882,M,1977-10-06,Nakuru,Belgut,Private
P10170,18909381,F,1995-02-13,Kericho,Belgut,Private
P10171,3501728,F,1983-04-21,Kericho,Kericho East,CBHI
P10172,30153303,M,1989-04-01,Kericho,Kericho West,Company
P10173,33689128,F,1971-02-25,Kericho,Kericho East,Cash
P10174,9801204,M,1953-06-09,Kericho,Belgut,Private
P10175,1275330,F,1969-05-07,Kericho,Kericho West,CBHI
P10176,15947766,F,1960-12-06,Kericho,Kericho West,Company
P10177,7439548,F,2003-07-15,Kericho,Kericho East,CBHI
P10178,28805735,M,2005-02-27,Kericho,Kericho West,CBHI
P10179,24199709,M,1997-03-12,Kericho,Kipkelion,CBHI
P10180,25963166,F,1972-10-03,Kericho,Kericho East,Cash
P10181,22314947,M,1953-12-23,Kericho,Kipkelion,Cash
P10182,12232470,M,1955-08-30,Kericho,Belgut,NHIF
P10183,21179277,F,1996-03-28,Kericho,Kipkelion,Company
P10184,23956132,M,2008-10-30,Kericho,Bureti,NHIF
P10185,22752363,M,1994-07-08,Kericho,Belgut,Cash
P10186,5296702,F,2004-01-19,Kericho,Kericho West,CBHI
P10187,19840062,F,1990-01-02,Kericho,Soin Sigowet,Company
P10188,2842407,F,2005-02-28,Kericho,Bureti,NHIF
P10189,34432620,M,1952-10-17,Kericho,Kipkelion,Company
P10190,24303515,F,2000-11-21,Kericho,Kipkelion,Private
P10191,5159694,M,1997-07-02,Kericho,Belgut,Cash
P10192,12485474,F,1996-06-13,Kericho,Kipkelion,NHIF
P10193,19164740,F,1967-12-17,Kericho,Kericho West,NHIF
P10194,21447173,F,2013-08-28,Kericho,Kipkelion,CBHI
P10195,24259330,M,1960-11-20,Kericho,Kericho West,Private
P10196,24757210,F,1999-06-29,Kericho,Kipkelion,NHIF
P10197,27567994,F,2001-07-30,Kericho,Kericho West,Cash
P10198,23119996,M,1999-06-18,Kericho,Kipkelion,Private
P10199,34769246,M,1977-04-14,Kericho,Kericho West,Cash
P10200,16817838,M,2006-12-22,Nakuru,Kipkelion,Cash
P10201,6269875,M,2003-02-04,Nakuru,Kipkelion,Private
P10202,37823767,M,1952-07-18,Kericho,Kericho East,CBHI
P10203,2032453,F,2006-04-07,Kericho,Bureti,Cash
P10204,30436832,M,2011-10-12,Kericho,Kericho West,Company
P10205,9641443,F,2014-06-13,Kericho,Soin Sigowet,Cash
P10206,37691776,M,1978-08-18,Kericho,Belgut,NHIF
P10207,3396064,F,1984-06-18,Kericho,Kipkelion,Company
P10208,20985944,M,2018-06-18,Kericho,Belgut,CBHI
P10209,6043093,F,1995-05-07,Kericho,Kericho West,Private
P10210,33211788,F,1975-08-21,Kericho,Kericho East,NHIF
P10211,24557641,M,1985-12-09,Kericho,Kipkelion,CBHI
P10212,25927431,F,2018-07-30,Kericho,Bureti,CBHI
P10213,26434431,F,1980-06-03,Kericho,Bureti,Private
P10214,2701462,M,1953-06-29,Kericho,Soin Sigowet,Cash
P10215,34595005,M,1979-06-04,Bomet,Kipkelion,Cash
P10216,22573641,F,2013-08-01,Kericho,Bureti,Company
P10217,39171588,F,2015-01-27,Kericho,Soin Sigowet,NHIF
P10218,15270168,M,2002-05-08,Kericho,Kericho West,CBHI
P10219,16253537,M,2001-05-14,Nakuru,Soin Sigowet,NHIF
P10220,10162380,F,2011-12-13,Kericho,Belgut,CBHI
P10221,34808242,M,2000-04-27,Kericho,Soin Sigowet,Company
P10222,35777552,F,1999-01-04,Kericho,Soin Sigowet,Cash
P10223,37452562,F,1970-03-05,Nakuru,Bureti,Cash
P10224,32199063,F,2000-04-14,Bomet,Soin Sigowet,Cash
P10225,26476625,F,2019-05-10,Kericho,Kericho West,Cash
P10226,29687359,F,2017-01-17,Kericho,Kericho West,Private
P10227,7330072,M,1971-10-02,Kericho,Soin Sigowet,CBHI
P10228,27736186,F,2014-05-11,Kericho,Kericho East,Private
P10229,32041028,M,2017-10-25,Nakuru,Bureti,Cash
P10230,15584034,M,1965-09-15,Kericho,Kericho West,NHIF
P10231,2514313,M,1976-10-08,Kericho,Kipkelion,NHIF
P10232,33145902,M,1995-03-28,Kericho,Bureti,Private
P10233,12495609,M,2016-02-01,Kericho,Bureti,CBHI
P10234,27211999,F,1996-03-24,Kericho,Kericho East,Company
P10235,21716541,M,1950-08-12,Kericho,Belgut,Private
P10236,39088280,M,1973-06-19,Kericho,Bureti,Private
P10237,10718415,F,2011-07-21,Kericho,Soin Sigowet,Cash
P10238,14820942,M,1961-12-25,Kericho,Kericho West,Company
P10239,36072202,M,2018-05-08,Kericho,Soin Sigowet,CBHI
P10240,5241385,M,1955-07-17,Kericho,Kipkelion,CBHI
P10241,22019602,F,1960-06-05,Kericho,Kericho West,CBHI
P10242,30429327,M,1996-01-18,Kericho,Belgut,CBHI
P10243,26571669,F,1950-04-09,Kericho,Kericho West,CBHI
P10244,36316868,M,1956-03-11,Bomet,Belgut,NHIF
P10245,25129647,F,1990-03-29,Kericho,Belgut,Company
P10246,23338443,M,1966-01-05,Kericho,Belgut,CBHI
P10247,20022802,F,2010-06-04,Kericho,Kipkelion,Company
P10248,30912040,F,1963-12-02,Kericho,Kericho West,NHIF
P10249,1049972,M,1968-06-27,Kericho,Kericho East,CBHI
P10250,2968677,F,1989-05-19,Kericho,Kipkelion,Private
P10251,38662111,F,2001-10-22,Kericho,Soin Sigowet,Cash
P10252,14833928,F,1976-12-16,Kericho,Kericho East,CBHI
P10253,33260549,M,1980-11-24,Nakuru,Soin Sigowet,Company
P10254,10013825,F,1983-10-10,Kericho,Kipkelion,Company
P10255,31073093,M,2000-06-15,Kericho,Belgut,CBHI
P10256,13645698,F,2008-01-08,Kericho,Belgut,Cash
P10257,18016153,F,2010-06-09,Kericho,Kipkelion,NHIF
P10258,14563733,F,1968-09-27,Kericho,Bureti,Cash
P10259,16280153,M,1985-08-01,Bomet,Kericho West,CBHI
P10260,35812654,F,1977-09-02,Kericho,Bureti,CBHI
P10261,13631656,F,1978-01-27,Kericho,Kericho East,CBHI
P10262,37132111,F,1976-06-25,Kericho,Kericho West,Cash
P10263,36952995,F,1973-02-01,Kericho,Belgut,Company
P10264,9392458,F,1966-07-06,Bomet,Kipkelion,NHIF
P10265,428412,F,1962-05-03,Kericho,Soin Sigowet,Private
P10266,33939162,F,1983-06-26,Kericho,Kipkelion,CBHI
P10267,35716176,F,1951-01-24,Kericho,Kipkelion,Cash
P10268,12030395,M,1958-08-23,Kericho,Kericho West,Private
P10269,17939860,F,1957-02-02,Kericho,Belgut,Company
P10270,5410110,M,1958-05-22,Kericho,Belgut,Company
P10271,5548972,F,1988-12-05,Kericho,Bureti,CBHI
P10272,38036241,F,1974-04-28,Kericho,Kericho East,Cash
P10273,21104711,M,1968-08-02,Kericho,Kericho West,Company
P10274,38030320,F,2010-09-28,Bomet,Kipkelion,Cash
P10275,33607640,F,1954-10-26,Kericho,Belgut,Private
P10276,26622291,F,1952-08-28,Kericho,Bureti,Company
P10277,28980826,M,2010-12-24,Kericho,Soin Sigowet,Company
P10278,4932951,M,1974-01-15,Kericho,Belgut,Private
P10279,348646,F,1989-11-25,Kericho,Bureti,NHIF
P10280,37378633,F,1959-04-08,Kericho,Kericho East,Cash
P10281,25852880,M,1976-03-08,Kericho,Belgut,NHIF
P10282,25550494,M,1962-06-16,Kericho,Bureti,Cash
P10283,18519488,F,1976-11-22,Kericho,Kericho East,Cash
P10284,13123020,F,1959-08-07,Kericho,Bureti,NHIF
P10285,22115171,F,1980-01-12,Kericho,Soin Sigowet,CBHI
P10286,32145800,F,1965-12-08,Nakuru,Belgut,Cash
P10287,16268820,F,1983-09-27,Kericho,Belgut,Cash
P10288,12074711,M,2015-03-30,Kericho,Soin Sigowet,Private
P10289,33507672,M,2006-10-27,Kericho,Kericho West,Cash
P10290,4963717,F,2003-08-24,Kericho,Kipkelion,Company
P10291,2467269,F,2012-12-12,Bomet,Kipkelion,CBHI
P10292,11162788,M,2000-07-12,Kericho,Soin Sigowet,Company
P10293,6617375,F,1969-12-01,Kericho,Soin Sigowet,CBHI
P10294,29915693,F,1985-02-02,Kericho,Soin Sigowet,CBHI
P10295,32398220,M,1976-07-03,Kericho,Kericho East,NHIF
P10296,13882632,F,1981-04-01,Kericho,Kericho East,Company
P10297,2998629,M,1952-01-11,Kericho,Bureti,NHIF
P10298,11707359,M,1979-09-11,Kericho,Belgut,Company
P10299,29000053,F,1952-08-14,Kericho,Kipkelion,Private
P10300,14414723,M,1974-12-21,Kericho,Soin Sigowet,NHIF
P10301,24547955,F,1967-09-06,Kericho,Kericho East,Cash
P10302,26081140,F,2002-08-30,Kericho,Bureti,Cash
P10303,39605529,M,2010-04-19,Kericho,Bureti,NHIF
P10304,9486412,F,1987-07-10,Kericho,Kericho West,CBHI
P10305,11625591,M,1993-12-05,Kericho,Kericho West,Private
P10306,24094711,M,1993-06-23,Kericho,Kericho West,Company
P10307,32999166,F,2013-09-16,Kericho,Belgut,Company
P10308,19601823,M,1974-08-29,Kericho,Kipkelion,Cash
P10309,36891500,M,2001-05-19,Kericho,Bureti,CBHI
P10310,36665148,M,1988-02-22,Kericho,Soin Sigowet,Private
P10311,23392605,M,1989-05-23,Kericho,Kericho East,Private
P10312,28733806,M,2005-04-12,Kericho,Kericho West,Private
P10313,36156146,M,1979-01-14,Kericho,Bureti,Cash
P10314,9099218,F,1955-04-27,Kericho,Soin Sigowet,Private
P10315,21615545,M,2018-04-25,Kericho,Soin Sigowet,Company
P10316,25177389,F,1956-10-10,Kericho,Kericho East,Company
P10317,32752111,F,2002-03-18,Kericho,Soin Sigowet,NHIF
P10318,35864619,F,1969-07-17,Nakuru,Belgut,Private
P10319,36729389,M,2000-10-16,Kericho,Belgut,Cash
P10320,30842011,M,1961-02-23,Bomet,Kericho West,Company
P10321,20257852,M,1974-08-02,Kericho,Soin Sigowet,Cash
P10322,26598033,F,2015-02-18,Kericho,Kericho West,Company
P10323,14322453,F,1956-12-28,Kericho,Kipkelion,Private
P10324,23056871,M,1987-11-21,Kericho,Kericho West,Company
P10325,6925738,F,1982-12-23,Bomet,Bureti,Private
P10326,4591026,M,2004-10-02,Kericho,Kericho West,Company
P10327,29687879,M,1957-10-11,Bomet,Kericho East,Private
P10328,28815791,F,1962-07-18,Kericho,Bureti,NHIF
P10329,19120712,M,2009-01-25,Kericho,Bureti,Private
P10330,19833492,M,1971-06-22,Kericho,Belgut,NHIF
P10331,35452707,M,1982-05-25,Bomet,Bureti,Private
P10332,24522416,M,2018-06-06,Kericho,Kericho East,NHIF
P10333,2672736,M,1985-09-14,Kericho,Bureti,CBHI
P10334,36008256,M,1974-11-23,Kericho,Bureti,NHIF
P10335,21927842,F,2002-08-12,Kericho,Soin Sigowet,NHIF
P10336,16406759,M,1988-12-24,Kericho,Belgut,CBHI
P10337,849932,M,2012-12-07,Kericho,Kericho West,Company
P10338,24955736,M,2017-04-07,Kericho,Bureti,NHIF
P10339,35155262,M,1973-08-04,Kericho,Kipkelion,NHIF
P10340,33528260,M,1982-12-27,Kericho,Bureti,NHIF
P10341,34146661,M,1953-12-14,Kericho,Kericho East,Private
P10342,12009865,M,1999-08-08,Kericho,Soin Sigowet,Company
P10343,18203814,M,2001-04-11,Kericho,Kericho East,CBHI
P10344,3082216,F,1956-03-08,Kericho,Belgut,Cash
P10345,534803,F,1968-01-02,Kericho,Kipkelion,Cash
P10346,33108875,M,2015-09-18,Bomet,Kipkelion,Private
P10347,36342484,F,2007-01-20,Kericho,Soin Sigowet,NHIF
P10348,6975901,M,1997-07-13,Kericho,Belgut,Company
P10349,2946097,M,1996-08-18,Kericho,Soin Sigowet,Cash
P10350,33918684,M,2007-03-03,Kericho,Belgut,NHIF
P10351,15889483,F,1973-06-01,Kericho,Bureti,Company
P10352,30384066,F,1970-12-16,Kericho,Kericho West,Private
P10353,30169914,F,1978-03-05,Kericho,Kericho East,CBHI
P10354,31094664,F,1960-10-04,Kericho,Kericho West,Cash
P10355,9953842,M,2013-10-20,Kericho,Bureti,Company
P10356,11668067,M,1986-04-13,Kericho,Belgut,CBHI
P10357,9381353,M,1951-01-27,Kericho,Kericho West,Private
P10358,39079089,F,1956-09-23,Kericho,Kericho East,Private
P10359,22249937,M,1953-10-31,Nakuru,Belgut,NHIF
P10360,1978524,F,2011-04-18,Kericho,Kericho West,Cash
P10361,9974486,M,2005-02-04,Kericho,Kipkelion,Private
P10362,32147222,M,1957-11-14,Kericho,Belgut,Private
P10363,36484183,M,1984-04-25,Kericho,Soin Sigowet,Cash
P10364,37960204,F,1984-11-04,Kericho,Kericho West,NHIF
P10365,3931991,F,1997-07-01,Kericho,Kipkelion,Private
P10366,35815301,M,2018-07-19,Nakuru,Kericho West,CBHI
P10367,15874678,F,2016-03-21,Kericho,Bureti,CBHI
P10368,37822992,M,2000-07-08,Nakuru,Kericho West,Company
P10369,6057071,M,1970-11-14,Kericho,Kericho West,NHIF
P10370,13520046,M,1980-07-27,Kericho,Kericho West,Cash
P10371,7443755,F,1956-07-04,Kericho,Soin Sigowet,Company
P10372,9157117,M,2015-09-14,Nakuru,Belgut,Company
P10373,23946158,M,2009-09-16,Kericho,Kericho West,Company
P10374,11925802,M,2012-12-24,Nakuru,Kipkelion,Company
P10375,14824030,M,1994-07-07,Kericho,Bureti,NHIF
P10376,22531766,F,1951-01-09,Kericho,Kericho West,Private
P10377,85978,M,1984-08-16,Kericho,Soin Sigowet,Company
P10378,36643049,F,1959-02-06,Kericho,Belgut,CBHI
P10379,30285387,M,1952-12-30,Kericho,Kericho East,Cash
P10380,25196553,M,2015-09-02,Kericho,Kipkelion,NHIF
P10381,28945619,M,2004-06-26,Bomet,Belgut,Private
P10382,27466307,F,2009-04-07,Kericho,Bureti,Private
P10383,32946982,M,1954-11-22,Kericho,Kericho East,Company
P10384,13399950,M,1952-04-23,Kericho,Kericho West,Cash
P10385,26673583,F,1993-11-17,Bomet,Soin Sigowet,Cash
P10386,24898766,F,1983-02-21,Kericho,Belgut,NHIF
P10387,18022891,M,1963-07-24,Kericho,Soin Sigowet,NHIF
P10388,39575872,M,1999-09-01,Kericho,Belgut,CBHI
P10389,15813669,F,1976-10-23,Kericho,Belgut,NHIF
P10390,9895045,M,2017-12-06,Kericho,Kericho West,Private
P10391,28412209,M,2011-04-15,Kericho,Kericho West,Private
P10392,26044894,F,1999-07-12,Kericho,Bureti,CBHI
P10393,35068543,F,1960-02-05,Kericho,Kericho West,Private
P10394,37761068,M,1975-09-01,Kericho,Kipkelion,Cash
P10395,31745622,M,1965-06-13,Kericho,Belgut,Private
P10396,26561202,F,2011-12-13,Kericho,Kericho East,Company
P10397,20867455,F,1994-02-08,Kericho,Soin Sigowet,NHIF
P10398,18080469,F,2004-04-10,Kericho,Kericho East,Private
P10399,34661824,F,1955-01-16,Kericho,Kericho West,NHIF
P10400,35184253,M,1965-08-03,Kericho,Kericho West,NHIF
P10401,13362031,F,1983-01-18,Kericho,Belgut,CBHI
P10402,24995822,F,2003-04-18,Kericho,Kericho West,Company
P10403,17358374,M,1975-07-30,Kericho,Belgut,NHIF
P10404,15107014,M,1974-02-21,Kericho,Belgut,CBHI
P10405,8879449,M,2003-12-07,Kericho,Kericho East,Private
P10406,28441193,F,1981-04-14,Kericho,Bureti,Private
P10407,26652456,M,1950-08-29,Kericho,Soin Sigowet,Cash
P10408,20030381,M,1993-03-21,Kericho,Bureti,Cash
P10409,20051533,M,1963-06-14,Kericho,Kericho West,NHIF
P10410,1708275,F,1976-07-09,Kericho,Belgut,Company
P10411,12744991,F,2015-03-08,Kericho,Kericho West,CBHI
P10412,20145734,M,2008-12-30,Kericho,Kipkelion,Private
P10413,37515980,M,2010-12-24,Bomet,Bureti,NHIF
P10414,22234317,F,1973-05-18,Kericho,Bureti,Company
P10415,4779208,F,1967-06-15,Kericho,Kericho East,Company
P10416,9218427,M,1980-09-28,Kericho,Kipkelion,Company
P10417,32720997,F,2006-08-12,Kericho,Bureti,NHIF
P10418,38673424,M,1993-12-03,Kericho,Kericho East,Private
P10419,28791411,F,1984-05-22,Kericho,Kericho East,CBHI
P10420,35637075,M,1951-08-11,Kericho,Kericho East,Private
P10421,8652400,M,1984-05-30,Kericho,Kipkelion,Cash
P10422,19517123,F,2015-04-19,Kericho,Kipkelion,CBHI
P10423,32895335,F,2017-04-18,Kericho,Kericho West,Company
P10424,1470575,M,1961-01-18,Kericho,Soin Sigowet,NHIF
P10425,3260616,M,2009-05-22,Kericho,Soin Sigowet,NHIF
P10426,25518399,M,1999-02-06,Kericho,Belgut,Private
P10427,28244206,M,2009-06-08,Kericho,Bureti,CBHI
P10428,34331874,M,1975-05-13,Kericho,Kericho East,Company
P10429,13534059,F,2013-02-09,Kericho,Bureti,Private
