patient_id,national_id,name,sex,date_of_birth,county,sub_county,insurance_type,contact
P10074,18767564,William Njoroge,F,1999-11-12,Kericho,Kipkelion,Private,0720-347837
P10075,37257245,Jane Nyong'o,M,2011-12-16,Kericho,Soin Sigowet,Company,0767-911117
P10076,14871083,James Kiptoo,F,2012-01-24,Kericho,Bureti,CBHI,0757-584666
P10077,28555078,Thomas Njoroge,F,1981-07-25,Kericho,Belgut,Cash,0749-357336
P10078,21176065,Elizabeth Jepkosgei,M,2016-08-24,Kericho,Soin Sigowet,Private,0734-321856
P10079,39566508,Ruth Kiptoo,F,1959-01-08,Kericho,Kericho West,Cash,0739-469283
P10080,35845200,Lucy Kipchoge,M,1974-08-11,Kericho,Kericho East,CBHI,0747-814229
P10081,00823118,Ruth Chebet,F,1992-02-11,Kericho,Belgut,Cash,0733-152358
P10082,04385124,Ruth Chebet,F,1994-02-12,Kericho,Kipkelion,NHIF,0729-252930
P10083,05716394,Richard Kiptoo,M,1960-08-17,Kericho,Belgut,CBHI,0786-909733
P10084,25526738,Grace Omondi,F,1989-09-20,Kericho,Kipkelion,Company,0749-682735
P10085,06659453,Mary Atieno,M,2006-02-12,Kericho,Bureti,NHIF,0730-345277
P10086,10504727,Esther Chebet,M,1986-08-26,Kericho,Soin Sigowet,CBHI,0770-398133
P10087,18972909,Grace Kiptoo,F,1956-05-21,Kericho,Kericho West,Cash,0790-703777
P10088,07702508,Michael Mwangi,M,2008-02-07,Kericho,Bureti,Private,0719-161269
P10089,38198839,Lucy Atieno,F,1989-05-26,Kericho,Belgut,Cash,0799-512378
P10090,33138037,Thomas Omondi,F,1957-03-20,Kericho,Kericho East,Company,0751-718356
P10091,15362858,John Chebet,M,2018-08-11,Kericho,Bureti,CBHI,0715-881874
P10092,34827074,Sarah Nyong'o,F,1974-12-15,Kericho,Kipkelion,Company,0791-933603
P10093,23351272,James Nyong'o,F,1979-11-26,Kericho,Soin Sigowet,NHIF,0730-437521
P10094,26873896,Ruth Kiptoo,M,1990-10-21,Kericho,Bureti,Cash,0751-218891
P10095,00077247,Joseph Omondi,F,1987-01-28,Kericho,Kericho West,CBHI,0756-737874
P10096,03463608,Ruth Nyong'o,M,1973-12-16,Kericho,Kericho West,Cash,0766-815596
P10097,16058981,Elizabeth Kipchoge,M,1977-11-17,Kericho,Kericho East,CBHI,0762-195330
P10098,07883020,Elizabeth Nyong'o,M,1994-09-17,Bomet,Soin Sigowet,Cash,0775-822379
P10099,31690134,Jane Nyong'o,M,1990-12-24,Kericho,Kericho West,Company,0734-713620
P10100,18538650,Robert Chebet,F,1980-06-29,Bomet,Kipkelion,Cash,0710-389843
P10101,38918000,Lucy Atieno,F,1963-05-02,Kericho,Kipkelion,Company,0754-440665
P10102,30557660,Esther Mwangi,F,1966-12-04,Kericho,Kericho West,CBHI,0759-339976
P10103,21352452,Jane Kipchoge,F,2013-04-08,Bomet,Belgut,Company,0794-911940
P10104,02484345,Robert Nyong'o,M,1995-01-24,Nakuru,Kipkelion,Cash,0722-995965
P10105,35295980,Charles Chebet,F,1951-05-18,Kericho,Kericho West,Company,0793-258176
P10106,22720460,Ruth Kiptoo,F,2008-04-19,Kericho,Bureti,CBHI,0758-424741
P10107,02409148,Ruth Omondi,M,1971-01-23,Kericho,Soin Sigowet,Cash,0739-864192
P10108,06744927,Jane Chebet,F,1964-12-04,Kericho,Bureti,NHIF,0715-432915
P10109,24056068,Mary Kiptoo,F,1988-08-21,Kericho,Kericho West,CBHI,0762-679798
P10110,11748706,Sarah Korir,M,2004-09-05,Kericho,Belgut,CBHI,0797-346609
P10111,15581903,Richard Korir,F,2007-03-25,Kericho,Belgut,Cash,0795-109923
P10112,36681581,Charles Kiptoo,M,1956-08-17,Kericho,Bureti,CBHI,0748-754534
P10113,20275043,William Nyong'o,M,1984-07-06,Kericho,Belgut,NHIF,0740-490685
P10114,19855660,Ann Atieno,F,1951-12-20,Kericho,Soin Sigowet,Company,0745-108679
P10115,33334804,Mary Atieno,F,2019-08-06,Kericho,Kericho West,CBHI,0755-324751
P10116,16819280,Michael Atieno,M,2006-05-13,Kericho,Soin Sigowet,NHIF,0749-907551
P10117,24485423,Mary Atieno,M,1958-02-01,Bomet,Bureti,Cash,0763-279305
P10118,24552284,Robert Omondi,F,1964-10-05,Kericho,Belgut,Cash,0753-923217
P10119,09446044,Charles Chebet,M,2010-09-04,Kericho,Soin Sigowet,Company,0781-474192
P10120,17747515,Joseph Kipchoge,M,1990-10-20,Kericho,Soin Sigowet,Cash,0784-490942
P10121,15691523,Ann Chebet,F,1952-03-31,Kericho,Kipkelion,Cash,0788-326763
P10122,20279640,James Nyong'o,F,1960-06-20,Kericho,Kericho East,NHIF,0748-604218
P10123,36074143,Elizabeth Jepkosgei,M,1984-11-13,Kericho,Bureti,CBHI,0763-701860
P10124,06645230,Robert Mwangi,F,2005-03-26,Kericho,Bureti,NHIF,0798-479322
P10125,15845251,Charles Nyong'o,F,1958-11-30,Kericho,Bureti,CBHI,0792-467162
P10126,12737837,Joseph Kiptoo,M,1990-10-18,Kericho,Soin Sigowet,Private,0792-754711
P10127,22381421,John Kipchoge,M,1961-04-19,Kericho,Kipkelion,Private,0718-949883
P10128,39351503,Esther Jepkosgei,M,1970-11-26,Kericho,Kericho West,CBHI,0710-383979
P10129,36253246,Robert Korir,F,1965-08-27,Kericho,Soin Sigowet,NHIF,0726-115466
P10130,21727936,Grace Atieno,M,1965-08-19,Kericho,Kericho East,Private,0763-638216
P10131,30083241,James Nyong'o,F,1996-01-17,Kericho,Kericho East,Company,0774-326729
P10132,20242069,Mary Omondi,F,2007-09-19,Nakuru,Kericho East,NHIF,0771-967511
P10133,32901386,Jane Chebet,F,1956-08-05,Bomet,Kericho East,Cash,0787-251167
P10134,39283160,Robert Kiptoo,F,1984-03-04,Kericho,Kipkelion,Cash,0768-617719
P10135,07678199,Jane Chebet,M,1988-08-01,Kericho,Kericho West,Company,0753-947564
P10136,06381103,Joseph Mwangi,F,1988-04-15,Kericho,Soin Sigowet,Cash,0757-256803
P10137,06121992,Ruth Chebet,M,1958-05-13,Kericho,Kericho East,Cash,0726-669161
P10138,37693934,Richard Omondi,F,2010-02-09,Kericho,Belgut,Cash,0795-868533
P10139,20968091,Mary Kiptoo,F,1959-04-18,Kericho,Kipkelion,Private,0729-772593
P10140,23495753,Grace Chebet,F,1960-04-22,Kericho,Bureti,CBHI,0738-926539
P10141,37362173,Esther Atieno,M,2004-08-20,Bomet,Soin Sigowet,Cash,0713-284379
P10142,23556784,Lucy Njoroge,M,1966-04-11,Kericho,Kericho West,CBHI,0794-510171
P10143,06157754,Robert Kipchoge,M,1983-10-02,Kericho,Belgut,Cash,0730-478419
P10144,05701371,David Atieno,M,1963-12-17,Kericho,Kipkelion,NHIF,0796-183378
P10145,32592206,Charles Mwangi,F,1987-02-27,Kericho,Kericho West,CBHI,0724-453540
P10146,39804566,Elizabeth Kiptoo,F,1997-04-10,Kericho,Bureti,NHIF,0738-504713
P10147,13718604,Mary Kipchoge,F,1968-12-13,Kericho,Kericho West,Cash,0747-435222
P10148,28900769,John Nyong'o,M,1961-08-04,Kericho,Kipkelion,Private,0774-672953
P10149,26646996,Ann Chebet,M,1989-02-19,Kericho,Belgut,NHIF,0750-689539
P10150,28030968,Richard Mwangi,F,1960-05-02,Kericho,Kericho East,Cash,0731-920732
P10151,05914297,Charles Njoroge,F,1959-07-01,Kericho,Belgut,CBHI,0761-636180
P10152,22784351,Joseph Kiptoo,M,1979-11-18,Kericho,Kericho West,NHIF,0775-748216
P10153,13012658,Thomas Omondi,F,1981-07-01,Kericho,Soin Sigowet,Private,0740-205249
P10154,11643323,William Jepkosgei,M,2018-03-15,Kericho,Soin Sigowet,NHIF,0732-891743
P10155,37831648,Ruth Nyong'o,F,2011-02-09,Bomet,Kipkelion,CBHI,0751-984742
P10156,29511984,David Korir,M,1992-01-26,Kericho,Soin Sigowet,Cash,0745-705157
P10157,04978851,Ann Omondi,F,1991-06-05,Kericho,Kericho East,NHIF,0757-951393
P10158,39868022,James Chebet,F,1991-07-07,Kericho,Kipkelion,NHIF,0767-929685
P10159,31918924,Michael Njoroge,M,1955-07-21,Kericho,Kericho East,Cash,0720-616761
P10160,16625800,Sarah Kipchoge,F,1989-06-03,Kericho,Kipkelion,CBHI,0730-472481
P10161,27432050,Lucy Mwangi,F,2010-11-28,Kericho,Kericho East,Cash,0718-437196
P10162,19068781,Esther Mwangi,F,2014-12-06,Kericho,Soin Sigowet,CBHI,0729-441183
P10163,23476076,Richard Korir,F,2008-11-09,Kericho,Soin Sigowet,Company,0726-709825
P10164,37508626,James Kiptoo,F,2007-09-24,Kericho,Bureti,Private,0795-819948
P10165,28414321,Thomas Chebet,F,1951-08-21,Kericho,Bureti,Private,0737-449884
P10166,15203047,Ruth Jepkosgei,M,1963-11-26,Kericho,Bureti,NHIF,0774-889652
P10167,22599875,Thomas Kipchoge,M,2003-08-01,Kericho,Kericho West,Private,0733-951809
P10168,29371766,Mercy Korir,M,1986-11-11,Kericho,Soin Sigowet,Private,0766-725391
P10169,35836882,Charles Jepkosgei,M,1977-10-06,Nakuru,Belgut,Private,0757-794684
P10170,18909381,Charles Nyong'o,F,1995-02-13,Kericho,Belgut,Private,0735-920719
P10171,03501728,Robert Kiptoo,F,1983-04-21,Kericho,Kericho East,CBHI,0725-391185
P10172,30153303,Sarah Kiptoo,M,1989-04-01,Kericho,Kericho West,Company,0754-127524
P10173,33689128,Mary Mwangi,F,1971-02-25,Kericho,Kericho East,Cash,0738-128426
P10174,09801204,Elizabeth Njoroge,M,1953-06-09,Kericho,Belgut,Private,0770-559730
P10175,01275330,John Chebet,F,1969-05-07,Kericho,Kericho West,CBHI,0787-640533
P10176,15947766,Elizabeth Kiptoo,F,1960-12-06,Kericho,Kericho West,Company,0791-912737
P10177,07439548,Charles Chebet,F,2003-07-15,Kericho,Kericho East,CBHI,0783-347835
P10178,28805735,Robert Kiptoo,M,2005-02-27,Kericho,Kericho West,CBHI,0763-291780
P10179,24199709,James Omondi,M,1997-03-12,Kericho,Kipkelion,CBHI,0780-120499
P10180,25963166,Ruth Kipchoge,F,1972-10-03,Kericho,Kericho East,Cash,0718-453346
P10181,22314947,Elizabeth Atieno,M,1953-12-23,Kericho,Kipkelion,Cash,0792-279950
P10182,12232470,Charles Nyong'o,M,1955-08-30,Kericho,Belgut,NHIF,0747-306144
P10183,21179277,Michael Kipchoge,F,1996-03-28,Kericho,Kipkelion,Company,0742-137871
P10184,23956132,Michael Kiptoo,M,2008-10-30,Kericho,Bureti,NHIF,0757-547509
P10185,22752363,Charles Mwangi,M,1994-07-08,Kericho,Belgut,Cash,0776-373920
P10186,05296702,James Mwangi,F,2004-01-19,Kericho,Kericho West,CBHI,0747-428205
P10187,19840062,James Njoroge,F,1990-01-02,Kericho,Soin Sigowet,Company,0731-806554
P10188,02842407,Ann Nyong'o,F,2005-02-28,Kericho,Bureti,NHIF,0719-787752
P10189,34432620,Joseph Njoroge,M,1952-10-17,Kericho,Kipkelion,Company,0714-229168
P10190,24303515,Grace Njoroge,F,2000-11-21,Kericho,Kipkelion,Private,0796-560479
P10191,05159694,Ann Nyong'o,M,1997-07-02,Kericho,Belgut,Cash,0793-385355
P10192,12485474,Elizabeth Kipchoge,F,1996-06-13,Kericho,Kipkelion,NHIF,0743-893366
P10193,19164740,Charles Jepkosgei,F,1967-12-17,Kericho,Kericho West,NHIF,0767-276830
P10194,21447173,Charles Chebet,F,2013-08-28,Kericho,Kipkelion,CBHI,0747-407971
P10195,24259330,Sarah Korir,M,1960-11-20,Kericho,Kericho West,Private,0773-126469
P10196,24757210,Esther Atieno,F,1999-06-29,Kericho,Kipkelion,NHIF,0718-416507
P10197,27567994,Ruth Omondi,F,2001-07-30,Kericho,Kericho West,Cash,0792-175560
P10198,23119996,Charles Omondi,M,1999-06-18,Kericho,Kipkelion,Private,0726-543614
P10199,34769246,Mary Chebet,M,1977-04-14,Kericho,Kericho West,Cash,0738-454631
P10200,16817838,Lucy Chebet,M,2006-12-22,Nakuru,Kipkelion,Cash,0726-740410
P10201,06269875,Mercy Omondi,M,2003-02-04,Nakuru,Kipkelion,Private,0731-774739
P10202,37823767,Mercy Njoroge,M,1952-07-18,Kericho,Kericho East,CBHI,0743-766315
P10203,02032453,Richard Mwangi,F,2006-04-07,Kericho,Bureti,Cash,0771-350924
P10204,30436832,Joseph Kiptoo,M,2011-10-12,Kericho,Kericho West,Company,0763-595575
P10205,09641443,Michael Njoroge,F,2014-06-13,Kericho,Soin Sigowet,Cash,0761-233878
P10206,37691776,Ann Omondi,M,1978-08-18,Kericho,Belgut,NHIF,0744-560353
P10207,03396064,Robert Chebet,F,1984-06-18,Kericho,Kipkelion,Company,0741-986263
P10208,20985944,David Atieno,M,2018-06-18,Kericho,Belgut,CBHI,0769-610415
P10209,06043093,Ruth Kipchoge,F,1995-05-07,Kericho,Kericho West,Private,0784-461149
P10210,33211788,Mary Kiptoo,F,1975-08-21,Kericho,Kericho East,NHIF,0765-237370
P10211,24557641,Ann Mwangi,M,1985-12-09,Kericho,Kipkelion,CBHI,0734-471666
P10212,25927431,Lucy Chebet,F,2018-07-30,Kericho,Bureti,CBHI,0797-725221
P10213,26434431,Robert Chebet,F,1980-06-03,Kericho,Bureti,Private,0735-716621
P10214,02701462,Joseph Omondi,M,1953-06-29,Kericho,Soin Sigowet,Cash,0770-631567
P10215,34595005,Robert Atieno,M,1979-06-04,Bomet,Kipkelion,Cash,0730-502731
P10216,22573641,Lucy Atieno,F,2013-08-01,Kericho,Bureti,Company,0712-477439
P10217,39171588,Elizabeth Mwangi,F,2015-01-27,Kericho,Soin Sigowet,NHIF,0786-585371
P10218,15270168,Richard Atieno,M,2002-05-08,Kericho,Kericho West,CBHI,0790-838734
P10219,16253537,Joseph Korir,M,2001-05-14,Nakuru,Soin Sigowet,NHIF,0734-119551
P10220,10162380,David Mwangi,F,2011-12-13,Kericho,Belgut,CBHI,0788-582993
P10221,34808242,Mary Korir,M,2000-04-27,Kericho,Soin Sigowet,Company,0777-485421
P10222,35777552,Sarah Nyong'o,F,1999-01-04,Kericho,Soin Sigowet,Cash,0788-595296
P10223,37452562,Grace Kiptoo,F,1970-03-05,Nakuru,Bureti,Cash,0736-806821
P10224,32199063,Ruth Njoroge,F,2000-04-14,Bomet,Soin Sigowet,Cash,0746-224687
P10225,26476625,Esther Mwangi,F,2019-05-10,Kericho,Kericho West,Cash,0715-394831
P10226,29687359,James Njoroge,F,2017-01-17,Kericho,Kericho West,Private,0778-377675
P10227,07330072,William Korir,M,1971-10-02,Kericho,Soin Sigowet,CBHI,0738-753338
P10228,27736186,Mary Chebet,F,2014-05-11,Kericho,Kericho East,Private,0710-663261
P10229,32041028,Jane Nyong'o,M,2017-10-25,Nakuru,Bureti,Cash,0746-761160
P10230,15584034,James Atieno,M,1965-09-15,Kericho,Kericho West,NHIF,0760-906607
P10231,02514313,Sarah Kiptoo,M,1976-10-08,Kericho,Kipkelion,NHIF,0752-391565
P10232,33145902,Esther Omondi,M,1995-03-28,Kericho,Bureti,Private,0724-438266
P10233,12495609,Charles Kiptoo,M,2016-02-01,Kericho,Bureti,CBHI,0796-875297
P10234,27211999,Sarah Atieno,F,1996-03-24,Kericho,Kericho East,Company,0795-197289
P10235,21716541,Robert Nyong'o,M,1950-08-12,Kericho,Belgut,Private,0767-871373
P10236,39088280,David Kiptoo,M,1973-06-19,Kericho,Bureti,Private,0717-783221
P10237,10718415,Charles Kiptoo,F,2011-07-21,Kericho,Soin Sigowet,Cash,0798-220754
P10238,14820942,Lucy Njoroge,M,1961-12-25,Kericho,Kericho West,Company,0787-482525
P10239,36072202,Esther Nyong'o,M,2018-05-08,Kericho,Soin Sigowet,CBHI,0720-638557
P10240,05241385,Thomas Njoroge,M,1955-07-17,Kericho,Kipkelion,CBHI,0735-686649
P10241,22019602,Robert Korir,F,1960-06-05,Kericho,Kericho West,CBHI,0772-193622
P10242,30429327,Charles Kipchoge,M,1996-01-18,Kericho,Belgut,CBHI,0717-672573
P10243,26571669,Lucy Kipchoge,F,1950-04-09,Kericho,Kericho West,CBHI,0719-146533
P10244,36316868,Ann Chebet,M,1956-03-11,Bomet,Belgut,NHIF,0746-518284
P10245,25129647,Robert Mwangi,F,1990-03-29,Kericho,Belgut,Company,0720-799777
P10246,23338443,Esther Korir,M,1966-01-05,Kericho,Belgut,CBHI,0726-845328
P10247,20022802,John Kipchoge,F,2010-06-04,Kericho,Kipkelion,Company,0778-488943
P10248,30912040,Grace Jepkosgei,F,1963-12-02,Kericho,Kericho West,NHIF,0714-928776
P10249,01049972,Jane Atieno,M,1968-06-27,Kericho,Kericho East,CBHI,0714-557712
P10250,02968677,Mary Jepkosgei,F,1989-05-19,Kericho,Kipkelion,Private,0717-243615
P10251,38662111,Lucy Jepkosgei,F,2001-10-22,Kericho,Soin Sigowet,Cash,0740-409997
P10252,14833928,Robert Omondi,F,1976-12-16,Kericho,Kericho East,CBHI,0785-852279
P10253,33260549,Jane Omondi,M,1980-11-24,Nakuru,Soin Sigowet,Company,0777-426813
P10254,10013825,Jane Mwangi,F,1983-10-10,Kericho,Kipkelion,Company,0740-969330
P10255,31073093,Lucy Korir,M,2000-06-15,Kericho,Belgut,CBHI,0777-237497
P10256,13645698,Grace Kiptoo,F,2008-01-08,Kericho,Belgut,Cash,0721-648841
P10257,18016153,Michael Kipchoge,F,2010-06-09,Kericho,Kipkelion,NHIF,0719-292923
P10258,14563733,Richard Omondi,F,1968-09-27,Kericho,Bureti,Cash,0711-316294
P10259,16280153,Elizabeth Nyong'o,M,1985-08-01,Bomet,Kericho West,CBHI,0751-894389
P10260,35812654,Joseph Nyong'o,F,1977-09-02,Kericho,Bureti,CBHI,0773-577200
P10261,13631656,Ruth Njoroge,F,1978-01-27,Kericho,Kericho East,CBHI,0738-859249
P10262,37132111,John Kiptoo,F,1976-06-25,Kericho,Kericho West,Cash,0739-488683
P10263,36952995,Grace Nyong'o,F,1973-02-01,Kericho,Belgut,Company,0768-272850
P10264,09392458,Ann Korir,F,1966-07-06,Bomet,Kipkelion,NHIF,0777-134959
P10265,00428412,James Kipchoge,F,1962-05-03,Kericho,Soin Sigowet,Private,0718-824254
P10266,33939162,John Jepkosgei,F,1983-06-26,Kericho,Kipkelion,CBHI,0771-775599
P10267,35716176,John Kipchoge,F,1951-01-24,Kericho,Kipkelion,Cash,0778-393117
P10268,12030395,Thomas Mwangi,M,1958-08-23,Kericho,Kericho West,Private,0734-734639
P10269,17939860,William Njoroge,F,1957-02-02,Kericho,Belgut,Company,0782-349813
P10270,05410110,Grace Kiptoo,M,1958-05-22,Kericho,Belgut,Company,0780-587157
P10271,05548972,John Korir,F,1988-12-05,Kericho,Bureti,CBHI,0722-640143
P10272,38036241,Grace Jepkosgei,F,1974-04-28,Kericho,Kericho East,Cash,0779-677773
P10273,21104711,Mary Korir,M,1968-08-02,Kericho,Kericho West,Company,0719-406266
P10274,38030320,Richard Jepkosgei,F,2010-09-28,Bomet,Kipkelion,Cash,0759-873857
P10275,33607640,Robert Chebet,F,1954-10-26,Kericho,Belgut,Private,0719-448719
P10276,26622291,Mercy Atieno,F,1952-08-28,Kericho,Bureti,Company,0772-333464
P10277,28980826,Esther Mwangi,M,2010-12-24,Kericho,Soin Sigowet,Company,0720-890733
P10278,04932951,Lucy Jepkosgei,M,1974-01-15,Kericho,Belgut,Private,0759-424469
P10279,00348646,Elizabeth Chebet,F,1989-11-25,Kericho,Bureti,NHIF,0726-189291
P10280,37378633,Jane Nyong'o,F,1959-04-08,Kericho,Kericho East,Cash,0780-195711
P10281,25852880,Mercy Njoroge,M,1976-03-08,Kericho,Belgut,NHIF,0781-348685
P10282,25550494,Thomas Korir,M,1962-06-16,Kericho,Bureti,Cash,0773-249164
P10283,18519488,Sarah Mwangi,F,1976-11-22,Kericho,Kericho East,Cash,0742-352838
P10284,13123020,Ruth Atieno,F,1959-08-07,Kericho,Bureti,NHIF,0760-440961
P10285,22115171,Mercy Mwangi,F,1980-01-12,Kericho,Soin Sigowet,CBHI,0727-407428
P10286,32145800,Mercy Jepkosgei,F,1965-12-08,Nakuru,Belgut,Cash,0747-852811
P10287,16268820,Ruth Atieno,F,1983-09-27,Kericho,Belgut,Cash,0724-677304
P10288,12074711,Richard Omondi,M,2015-03-30,Kericho,Soin Sigowet,Private,0766-916398
P10289,33507672,James Mwangi,M,2006-10-27,Kericho,Kericho West,Cash,0794-257832
P10290,04963717,Jane Mwangi,F,2003-08-24,Kericho,Kipkelion,Company,0778-618990
P10291,02467269,Jane Omondi,F,2012-12-12,Bomet,Kipkelion,CBHI,0791-187211
P10292,11162788,Grace Njoroge,M,2000-07-12,Kericho,Soin Sigowet,Company,0752-915540
